id,title,xp,number of sub-bounties,Dao name,parent_id,description
1505,stETH on Arbitrum,250.0,0,Layer3,,"Get hold of some staked ETH (wstETH) and put your assets to work on Balancer Arbitrum.
"
1423,"Earn with Ribbon, Part II",,3,Ribbon Finance,,"Ribbon Finance recently launched a new Vault where you can earn a healthy APY by depositing stETH while keeping your principal safe. Don't miss this opportunity to grow your wealth during this winter 🎀 ❄️

Please note that Ribbon Finance operates on the Ethereum Mainnet and a minimum of $20 is required to participate in this Quest. 
Make sure you have enough ETH for gas and enough stETH for deposits before starting.

⚠️ This is not financial advice. Always do your own research before proceeding.
💡Learn everything about Ribbon Finance here
🛡️ Check Ribbon Finance Audit Reports here
"
1424,Ribbon Finance 101,100.0,0,Ribbon Finance,1423.0,"How much do you know about Ribbon Finance? Did you have a read on their docs? Having a strong foundation of knowledge in Finance is a valuable asset that can benefit you throughout your journey.
"
1425,"Keep r-EARN-ing on Ribbon: New Vault, New Possibilities!",350.0,0,Ribbon Finance,1423.0,"Deposit your stETH in the R-Earn vault which employs a Sharkfin strategy & receive rEARN tokens! 

You can get stETH from Uniswap here.

Learn about R-Earn Vaults here
"
1426,Stake & Govern,350.0,0,Ribbon Finance,1423.0,"Staking your R-Earn Tokens will earn you an additional APY paid in RBN, the governance token of the Ribbon Finance protocol. RBN is used to vote on decisions regarding the protocol and is closely tied to its success.

Not only that, there are more benefits of being a RBN holders that you can learn everything about it here
"
1502,Crypto Trivia #14,25.0,0,Layer3,,"Crypto Trivia – the quiz that will make you smarter and more informed about blockchain and NFTs. Enter now! 🤓💰

Today's quiz is about bridges!
"
1501,Weekly: DeFi & NFTs on Polygon,375.0,0,Layer3,,"Explore some of the most popular DeFi protocols & go NFT shopping on Polygon, a scaling solution for Ethereum!
"
1496,Aave: Liquidity Mining Rewards,400.0,0,Layer3,,"Earn OP LM rewards & wAVAX rewards by supplying and borrowing on Aave v3 Optimism/Avalanche.
"
1374,Dollar Cost Averaging (DCA) with Cask,,3,Cask Protocol,,"Discover Cask Protocol, a protocol that enables users to Dollar Cost Average (DCA) invest by automatically buying crypto at various intervals. Start a weekly DCA Auto-Invest for a chance to win an NFT reward!

Note: Please only participate in this Quest if you have the funds to do so. This quest requires dollar-cost averaging on Arbitrum in amounts of $40 or more. This Quest requires a 7-day waiting period before the first and second bounty.
"
1371,Auto-Invest with Cask Protocol,250.0,0,Cask Protocol,1374.0,"Maximize your earnings with Cask: the web3 protocol that lets you DCA with ease.
"
1372,Complete your first weekly DCA,100.0,0,Cask Protocol,1374.0,"Process your second DCA deposit after initiating your Auto-Buy in the previous bounty.

Note: Make sure to sign up for low balance notifications in the Cask app to get notified when your balance or allowance is low.
"
1373,Follow & Share about Cask Protocol,100.0,0,Cask Protocol,1374.0,"Share about your DCA investing strategy with Cask Protocol on Twitter and join their Discord server. 
"
776,Curve: The Liquidity Heaven,,3,Layer3,,"A place for deep liquidity on multiple chains, Curve is a place for LPs to efficiently manage their capital & put their capital to use in highly liquid pools. 

New UI, who dis? 👀
"
793,Swap Stables on Curve,200.0,0,Curve,776.0,"Get exposure to very deep stablecoin liquidity on Curve. Swap your stables on Curve from heavily liquid pools on Curve.
"
794,Add Liquidity & Stake on Curve (Polygon),200.0,0,Curve,776.0,"Deposit in the famous Tricrypto Pool on Polygon & then stake your LP tokens in the Gauge to earn extra yield on your LP position.
"
1492,Add Liquidity & Stake on Curve (Rollups),375.0,0,Curve,776.0,"Deposit in the famous Tricrypto Pool on Arbitrum & Optimism and then stake your LP tokens in the Gauge to earn extra yield on your LP position.
"
1488,Optimism Explorer I,375.0,0,Layer3,,"Explore the low-cost and lightning-fast Optimism ecosystem & discover the popular web3 dApps on this Layer2.
"
1480,Options Trading with Premia (Part II),,3,Premia,,"Try your hand at Premia, a decentralized options protocol revolutionizing market-driven pricing and capital efficient returns for all. Premia's automated options market enables best-in-class pricing based on realtime supply and demand.
"
1481,Bridge to Arbitrum using Premia,100.0,0,Premia,1480.0,"Experience DeFi options on Arbitrum. Bridge and swap in one step using Premia's bridge, powered by Socket.
"
1482,Purchase wBTC/wstETH/WETH Option,250.0,0,Premia,1480.0,"Purchase a WBTC/wstETH/WETH Call or Put option using Premia's decentralized option trading platform on Arbitrum. Premia options are ERC-1155 tokens that offer the holder the rights (but not the obligation) to buy or sell the underlying token by a specified date. Learn more here.

⚠️ This is not financial advice, please do your own research before proceeding ⚠️
"
1483,Stay updated on Premia,100.0,0,Premia,1480.0,"Join the Premia community! Follow them on Twitter and join their Discord server.
"
449,"Sturdy, Simple DeFi on Avalanche",100.0,0,Aave,,"Reach your final form as a multi-chain DeFi explorer by utilizing Aave v3's money market on Avalanche.
"
1469,Slingshot Explorer (Part II),,4,Slingshot,,"Become a power swapper using Slingshot on Arbitrum, BNB Chain, Canto and also ready up your 2099 Metaverse wardrobe along the way.

Note: In this quest, you'll be bridging to Canto & swapping at least $100 worth of USDC. Similarly, you'll also swap at least $100 worth of USDC on BNB Chain/Arbitrum.
"
1470,Swap on Slingshot Arbitrum,250.0,0,Slingshot,1469.0,"Discover swapping crypto the web3 way with Slingshot. You must swap over $100 to be eligible.
"
1471,Swap on Slingshot BNB,100.0,0,Slingshot,1469.0,"Time to make some swaps with Slingshot on BNB Chain. Swap the web3 way with Slingshot & experience the smoothest experience in swapping.
"
1472,Swap on Slingshot Canto,350.0,0,Slingshot,1469.0,"Canto is a layer-1 blockchain built to deliver on the promise of DeFi. Experience Slingshot on Canto by bridging your USDC to NOTE on Canto & swapping on Slingshot. 
"
1473,Metaverse Wardrobe: 2099,250.0,0,Slingshot,1469.0,"Time to dive into the world of 2099 NFTs on Slingshot Polygon. 
"
1405,Arbitrum All-Rounder II,500.0,0,Layer3,,"From swapping to GMX to exploring all aspects of DeFi on Arbitrum, boost the Nitro into exploration mode for this weekly bounty.
"
